geracao;media da geracao;fitness do melhor da geracao;fitness do pior da geracao;relacao entre melhor e pior;fitness do melhor da run
Probabilidade Recombinação: 0.7
Probabilidade Mutação: 0.049999999999999996
Tipo de Selecção: Torneio
Tipo de Mutação: Simples Al.
Tamanho População: 300
Máximo de Gerações: 15000
0;76.64;63.0;96.0;-33.0;63.0
0;67.65;58.0;77.0;-19.0;58.0
9;50.0;49.0;53.0;-4.0;49.0
19;41.36333333333334;41.0;44.0;-3.0;41.0
29;34.03;33.0;37.0;-4.0;33.0
39;31.073333333333334;31.0;34.0;-3.0;31.0
49;29.046666666666667;29.0;32.0;-3.0;29.0
59;27.30666666666667;27.0;30.0;-3.0;27.0
69;26.083333333333332;26.0;29.0;-3.0;26.0
79;26.123333333333335;26.0;29.0;-3.0;26.0
89;24.22;24.0;28.0;-4.0;24.0
99;19.626666666666665;19.0;23.0;-4.0;19.0
109;19.11;19.0;22.0;-3.0;19.0
119;19.03;19.0;22.0;-3.0;19.0
129;19.086666666666666;19.0;22.0;-3.0;19.0
139;19.083333333333332;19.0;22.0;-3.0;19.0
149;19.066666666666666;19.0;22.0;-3.0;19.0
159;19.123333333333335;19.0;22.0;-3.0;19.0
169;19.116666666666667;19.0;22.0;-3.0;19.0
179;19.1;19.0;22.0;-3.0;19.0
189;19.116666666666667;19.0;22.0;-3.0;19.0
199;19.16;19.0;22.0;-3.0;19.0
209;19.063333333333333;19.0;22.0;-3.0;19.0
219;19.12;19.0;22.0;-3.0;19.0
229;19.136666666666667;19.0;22.0;-3.0;19.0
239;17.066666666666666;17.0;20.0;-3.0;17.0
249;17.14;17.0;20.0;-3.0;17.0
259;17.106666666666666;17.0;20.0;-3.0;17.0
269;17.16;17.0;20.0;-3.0;17.0
279;17.143333333333334;17.0;20.0;-3.0;17.0
289;17.06;17.0;20.0;-3.0;17.0
299;17.12;17.0;20.0;-3.0;17.0
309;16.08;16.0;19.0;-3.0;16.0
319;16.1;16.0;19.0;-3.0;16.0
329;16.08;16.0;19.0;-3.0;16.0
339;16.14666666666667;16.0;19.0;-3.0;16.0
349;16.16;16.0;19.0;-3.0;16.0
359;16.073333333333334;16.0;19.0;-3.0;16.0
369;16.153333333333332;16.0;19.0;-3.0;16.0
379;16.083333333333332;16.0;19.0;-3.0;16.0
389;16.183333333333334;16.0;19.0;-3.0;16.0
399;16.093333333333334;16.0;19.0;-3.0;16.0
409;16.1;16.0;19.0;-3.0;16.0
419;16.1;16.0;19.0;-3.0;16.0
429;16.14;16.0;19.0;-3.0;16.0
439;16.07;16.0;19.0;-3.0;16.0
449;16.106666666666666;16.0;19.0;-3.0;16.0
459;16.093333333333334;16.0;19.0;-3.0;16.0
469;16.12;16.0;19.0;-3.0;16.0
479;16.09;16.0;19.0;-3.0;16.0
489;16.123333333333335;16.0;19.0;-3.0;16.0
499;16.08;16.0;19.0;-3.0;16.0
509;16.153333333333332;16.0;19.0;-3.0;16.0
519;16.096666666666668;16.0;19.0;-3.0;16.0
529;16.123333333333335;16.0;19.0;-3.0;16.0
539;16.086666666666666;16.0;19.0;-3.0;16.0
549;16.183333333333334;16.0;19.0;-3.0;16.0
559;16.136666666666667;16.0;19.0;-3.0;16.0
569;16.09;16.0;19.0;-3.0;16.0
579;16.116666666666667;16.0;19.0;-3.0;16.0
589;16.066666666666666;16.0;19.0;-3.0;16.0
599;16.063333333333333;16.0;19.0;-3.0;16.0
609;16.106666666666666;16.0;19.0;-3.0;16.0
619;16.15;16.0;19.0;-3.0;16.0
629;16.116666666666667;16.0;19.0;-3.0;16.0
639;16.093333333333334;16.0;19.0;-3.0;16.0
649;16.11;16.0;19.0;-3.0;16.0
659;16.10333333333333;16.0;19.0;-3.0;16.0
669;16.076666666666668;16.0;19.0;-3.0;16.0
679;16.106666666666666;16.0;19.0;-3.0;16.0
689;16.053333333333335;16.0;19.0;-3.0;16.0
699;16.126666666666665;16.0;19.0;-3.0;16.0
709;16.12;16.0;19.0;-3.0;16.0
719;16.093333333333334;16.0;19.0;-3.0;16.0
729;16.08;16.0;19.0;-3.0;16.0
739;16.083333333333332;16.0;19.0;-3.0;16.0
749;16.163333333333334;16.0;19.0;-3.0;16.0
759;16.113333333333333;16.0;19.0;-3.0;16.0
769;16.083333333333332;16.0;19.0;-3.0;16.0
779;16.15;16.0;19.0;-3.0;16.0
789;16.08;16.0;19.0;-3.0;16.0
799;16.116666666666667;16.0;19.0;-3.0;16.0
809;16.156666666666666;16.0;19.0;-3.0;16.0
819;16.066666666666666;16.0;19.0;-3.0;16.0
829;16.153333333333332;16.0;19.0;-3.0;16.0
839;16.1;16.0;19.0;-3.0;16.0
849;16.13;16.0;19.0;-3.0;16.0
859;16.116666666666667;16.0;19.0;-3.0;16.0
869;16.123333333333335;16.0;19.0;-3.0;16.0
879;16.10333333333333;16.0;19.0;-3.0;16.0
889;16.136666666666667;16.0;19.0;-3.0;16.0
899;16.086666666666666;16.0;19.0;-3.0;16.0
909;16.126666666666665;16.0;19.0;-3.0;16.0
