geracao;media da geracao;fitness do melhor da geracao;fitness do pior da geracao;relacao entre melhor e pior;fitness do melhor da run
Probabilidade Recombinação: 0.7
Probabilidade Mutação: 0.049999999999999996
Tipo de Selecção: Torneio
Tipo de Mutação: Simples Al.
Tamanho População: 300
Máximo de Gerações: 15000
0;84.60333333333334;69.0;101.0;-32.0;69.0
0;75.46;66.0;86.0;-20.0;66.0
9;57.45;55.0;61.0;-6.0;55.0
19;49.11666666666667;47.0;53.0;-6.0;47.0
29;39.583333333333336;39.0;44.0;-5.0;39.0
39;36.11666666666667;36.0;39.0;-3.0;36.0
49;30.92;29.0;34.0;-5.0;29.0
59;28.97;28.0;32.0;-4.0;28.0
69;27.11;27.0;30.0;-3.0;27.0
79;25.51;25.0;29.0;-4.0;25.0
89;23.11;23.0;26.0;-3.0;23.0
99;19.05;18.0;22.0;-4.0;18.0
109;18.066666666666666;18.0;21.0;-3.0;18.0
119;18.106666666666666;18.0;21.0;-3.0;18.0
129;18.166666666666668;18.0;21.0;-3.0;18.0
139;18.123333333333335;18.0;21.0;-3.0;18.0
149;17.043333333333333;17.0;20.0;-3.0;17.0
159;17.126666666666665;17.0;20.0;-3.0;17.0
169;17.073333333333334;17.0;20.0;-3.0;17.0
179;17.156666666666666;17.0;20.0;-3.0;17.0
189;17.1;17.0;20.0;-3.0;17.0
199;17.10333333333333;17.0;20.0;-3.0;17.0
209;17.163333333333334;17.0;20.0;-3.0;17.0
219;17.093333333333334;17.0;20.0;-3.0;17.0
229;17.063333333333333;17.0;20.0;-3.0;17.0
239;17.10333333333333;17.0;20.0;-3.0;17.0
249;17.083333333333332;17.0;20.0;-3.0;17.0
259;16.08;16.0;19.0;-3.0;16.0
269;16.086666666666666;16.0;19.0;-3.0;16.0
279;16.113333333333333;16.0;19.0;-3.0;16.0
289;16.116666666666667;16.0;19.0;-3.0;16.0
299;16.083333333333332;16.0;19.0;-3.0;16.0
309;16.11;16.0;19.0;-3.0;16.0
319;16.12;16.0;19.0;-3.0;16.0
329;16.136666666666667;16.0;19.0;-3.0;16.0
339;16.14;16.0;19.0;-3.0;16.0
349;16.123333333333335;16.0;19.0;-3.0;16.0
359;16.14;16.0;19.0;-3.0;16.0
369;16.123333333333335;16.0;19.0;-3.0;16.0
379;16.063333333333333;16.0;19.0;-3.0;16.0
389;16.083333333333332;16.0;19.0;-3.0;16.0
399;16.096666666666668;16.0;19.0;-3.0;16.0
409;16.073333333333334;16.0;19.0;-3.0;16.0
419;16.076666666666668;16.0;19.0;-3.0;16.0
429;16.083333333333332;16.0;19.0;-3.0;16.0
439;16.136666666666667;16.0;19.0;-3.0;16.0
449;16.14;16.0;19.0;-3.0;16.0
459;16.05666666666667;16.0;19.0;-3.0;16.0
469;16.11;16.0;19.0;-3.0;16.0
479;16.113333333333333;16.0;19.0;-3.0;16.0
489;16.2;16.0;19.0;-3.0;16.0
499;16.14;16.0;19.0;-3.0;16.0
509;16.143333333333334;16.0;19.0;-3.0;16.0
519;16.126666666666665;16.0;19.0;-3.0;16.0
529;16.10333333333333;16.0;19.0;-3.0;16.0
539;16.11;16.0;19.0;-3.0;16.0
549;16.143333333333334;16.0;19.0;-3.0;16.0
559;16.14;16.0;19.0;-3.0;16.0
569;16.076666666666668;16.0;19.0;-3.0;16.0
579;16.03;16.0;19.0;-3.0;16.0
589;16.096666666666668;16.0;19.0;-3.0;16.0
599;16.076666666666668;16.0;19.0;-3.0;16.0
609;16.116666666666667;16.0;19.0;-3.0;16.0
619;16.14666666666667;16.0;19.0;-3.0;16.0
629;16.113333333333333;16.0;19.0;-3.0;16.0
639;16.106666666666666;16.0;19.0;-3.0;16.0
649;16.156666666666666;16.0;19.0;-3.0;16.0
659;16.133333333333333;16.0;19.0;-3.0;16.0
669;16.096666666666668;16.0;19.0;-3.0;16.0
679;16.1;16.0;19.0;-3.0;16.0
689;16.143333333333334;16.0;19.0;-3.0;16.0
699;16.096666666666668;16.0;19.0;-3.0;16.0
709;16.05666666666667;16.0;19.0;-3.0;16.0
719;16.106666666666666;16.0;19.0;-3.0;16.0
729;16.143333333333334;16.0;19.0;-3.0;16.0
739;16.136666666666667;16.0;19.0;-3.0;16.0
749;16.093333333333334;16.0;19.0;-3.0;16.0
759;16.093333333333334;16.0;19.0;-3.0;16.0
769;16.046666666666667;16.0;19.0;-3.0;16.0
779;16.1;16.0;19.0;-3.0;16.0
789;15.106666666666667;15.0;18.0;-3.0;15.0
799;15.093333333333334;15.0;18.0;-3.0;15.0
809;15.1;15.0;18.0;-3.0;15.0
819;15.153333333333334;15.0;18.0;-3.0;15.0
829;15.143333333333333;15.0;18.0;-3.0;15.0
839;15.086666666666666;15.0;18.0;-3.0;15.0
849;15.113333333333333;15.0;18.0;-3.0;15.0
859;15.076666666666666;15.0;18.0;-3.0;15.0
869;15.126666666666667;15.0;18.0;-3.0;15.0
879;15.093333333333334;15.0;18.0;-3.0;15.0
889;15.106666666666667;15.0;18.0;-3.0;15.0
