geracao;media da geracao;fitness do melhor da geracao;fitness do pior da geracao;relacao entre melhor e pior;fitness do melhor da run
Probabilidade Recombinação: 0.7
Probabilidade Mutação: 0.049999999999999996
Tipo de Selecção: Torneio
Tipo de Mutação: Simples Al.
Tamanho População: 300
Máximo de Gerações: 15000
0;84.60333333333334;69.0;101.0;-32.0;69.0
0;81.82666666666667;68.0;100.0;-32.0;68.0
9;69.09666666666666;63.0;78.0;-15.0;63.0
19;62.66;61.0;66.0;-5.0;61.0
29;59.87;58.0;62.0;-4.0;58.0
39;56.49;54.0;60.0;-6.0;54.0
49;51.586666666666666;50.0;54.0;-4.0;50.0
59;49.72;46.0;53.0;-7.0;46.0
69;45.79666666666667;43.0;49.0;-6.0;43.0
79;42.96;42.0;46.0;-4.0;42.0
89;40.35666666666667;39.0;44.0;-5.0;39.0
99;39.02;38.0;42.0;-4.0;38.0
109;37.18666666666667;36.0;41.0;-5.0;36.0
119;35.18;35.0;39.0;-4.0;35.0
129;34.62;33.0;38.0;-5.0;33.0
139;33.346666666666664;32.0;37.0;-5.0;32.0
149;32.49666666666667;31.0;36.0;-5.0;31.0
159;31.076666666666668;31.0;34.0;-3.0;31.0
169;30.393333333333334;29.0;34.0;-5.0;29.0
179;29.666666666666668;29.0;33.0;-4.0;29.0
189;29.086666666666666;28.0;32.0;-4.0;28.0
199;28.053333333333335;27.0;31.0;-4.0;27.0
209;27.116666666666667;26.0;30.0;-4.0;26.0
219;26.136666666666667;26.0;29.0;-3.0;26.0
229;25.716666666666665;25.0;29.0;-4.0;25.0
239;25.073333333333334;25.0;28.0;-3.0;25.0
249;25.05666666666667;25.0;28.0;-3.0;25.0
259;25.09;25.0;28.0;-3.0;25.0
269;25.053333333333335;23.0;28.0;-5.0;23.0
279;23.09;23.0;26.0;-3.0;23.0
289;23.11;23.0;26.0;-3.0;23.0
299;23.093333333333334;22.0;26.0;-4.0;22.0
309;22.123333333333335;22.0;25.0;-3.0;22.0
319;22.07;22.0;25.0;-3.0;22.0
329;22.066666666666666;21.0;25.0;-4.0;21.0
339;21.39666666666667;21.0;25.0;-4.0;21.0
349;21.1;19.0;24.0;-5.0;19.0
359;19.086666666666666;19.0;22.0;-3.0;19.0
369;19.136666666666667;19.0;22.0;-3.0;19.0
379;19.11;19.0;22.0;-3.0;19.0
389;17.22;17.0;21.0;-4.0;17.0
399;17.096666666666668;17.0;20.0;-3.0;17.0
409;17.09;17.0;20.0;-3.0;17.0
419;17.066666666666666;17.0;21.0;-4.0;17.0
429;17.1;17.0;20.0;-3.0;17.0
439;17.113333333333333;17.0;20.0;-3.0;17.0
449;17.086666666666666;17.0;20.0;-3.0;17.0
459;16.7;15.0;20.0;-5.0;15.0
469;14.876666666666667;14.0;18.0;-4.0;14.0
479;14.133333333333333;14.0;17.0;-3.0;14.0
489;14.116666666666667;14.0;17.0;-3.0;14.0
499;14.126666666666667;14.0;17.0;-3.0;14.0
509;14.163333333333334;14.0;19.0;-5.0;14.0
519;14.116666666666667;14.0;17.0;-3.0;14.0
529;14.133333333333333;14.0;17.0;-3.0;14.0
539;14.116666666666667;14.0;17.0;-3.0;14.0
549;14.116666666666667;14.0;17.0;-3.0;14.0
559;14.136666666666667;14.0;17.0;-3.0;14.0
569;14.1;14.0;17.0;-3.0;14.0
579;14.116666666666667;14.0;17.0;-3.0;14.0
589;14.11;14.0;17.0;-3.0;14.0
599;14.063333333333333;14.0;17.0;-3.0;14.0
609;14.106666666666667;14.0;17.0;-3.0;14.0
619;14.13;14.0;17.0;-3.0;14.0
629;14.106666666666667;14.0;17.0;-3.0;14.0
639;14.093333333333334;14.0;17.0;-3.0;14.0
649;14.096666666666666;14.0;17.0;-3.0;14.0
659;14.11;14.0;17.0;-3.0;14.0
669;14.07;14.0;17.0;-3.0;14.0
679;14.116666666666667;14.0;17.0;-3.0;14.0
689;14.07;14.0;17.0;-3.0;14.0
699;14.136666666666667;14.0;17.0;-3.0;14.0
709;14.09;14.0;17.0;-3.0;14.0
719;14.036666666666667;14.0;17.0;-3.0;14.0
729;14.126666666666667;14.0;17.0;-3.0;14.0
739;14.136666666666667;14.0;18.0;-4.0;14.0
749;14.113333333333333;14.0;17.0;-3.0;14.0
759;14.116666666666667;14.0;17.0;-3.0;14.0
769;14.083333333333334;14.0;17.0;-3.0;14.0
779;14.133333333333333;14.0;17.0;-3.0;14.0
789;14.08;14.0;17.0;-3.0;14.0
799;14.076666666666666;14.0;17.0;-3.0;14.0
809;14.156666666666666;14.0;17.0;-3.0;14.0
819;14.163333333333334;14.0;17.0;-3.0;14.0
829;14.096666666666666;14.0;17.0;-3.0;14.0
839;14.08;14.0;17.0;-3.0;14.0
849;14.176666666666666;14.0;17.0;-3.0;14.0
859;14.073333333333334;14.0;17.0;-3.0;14.0
869;14.16;14.0;20.0;-6.0;14.0
879;14.09;14.0;17.0;-3.0;14.0
889;14.083333333333334;14.0;17.0;-3.0;14.0
899;14.096666666666666;14.0;17.0;-3.0;14.0
