geracao;media da geracao;fitness do melhor da geracao;fitness do pior da geracao;relacao entre melhor e pior;fitness do melhor da run
Probabilidade Recombinação: 0.7
Probabilidade Mutação: 0.049999999999999996
Tipo de Selecção: Torneio
Tipo de Mutação: Simples Al.
Tamanho População: 300
Máximo de Gerações: 15000
0;84.60333333333334;69.0;101.0;-32.0;69.0
0;75.45;66.0;86.0;-20.0;66.0
9;58.83;55.0;62.0;-7.0;55.0
19;49.05;48.0;52.0;-4.0;48.0
29;43.74666666666667;42.0;46.0;-4.0;42.0
39;39.026666666666664;38.0;42.0;-4.0;38.0
49;32.07333333333333;32.0;35.0;-3.0;32.0
59;30.073333333333334;30.0;33.0;-3.0;30.0
69;29.423333333333332;29.0;33.0;-4.0;29.0
79;29.073333333333334;28.0;32.0;-4.0;28.0
89;28.1;28.0;31.0;-3.0;28.0
99;28.106666666666666;28.0;31.0;-3.0;28.0
109;28.046666666666667;28.0;31.0;-3.0;28.0
119;28.123333333333335;28.0;31.0;-3.0;28.0
129;28.123333333333335;28.0;31.0;-3.0;28.0
139;28.093333333333334;28.0;31.0;-3.0;28.0
149;28.046666666666667;28.0;31.0;-3.0;28.0
159;27.086666666666666;27.0;30.0;-3.0;27.0
169;25.08;25.0;28.0;-3.0;25.0
179;24.113333333333333;24.0;27.0;-3.0;24.0
189;24.08;24.0;27.0;-3.0;24.0
199;24.093333333333334;24.0;27.0;-3.0;24.0
209;24.123333333333335;24.0;27.0;-3.0;24.0
219;23.36;23.0;26.0;-3.0;23.0
229;23.083333333333332;23.0;26.0;-3.0;23.0
239;23.083333333333332;23.0;26.0;-3.0;23.0
249;23.06;23.0;26.0;-3.0;23.0
259;23.07;23.0;26.0;-3.0;23.0
269;23.06;23.0;26.0;-3.0;23.0
279;23.116666666666667;23.0;26.0;-3.0;23.0
289;23.116666666666667;23.0;26.0;-3.0;23.0
299;23.086666666666666;23.0;26.0;-3.0;23.0
309;23.076666666666668;23.0;26.0;-3.0;23.0
319;23.113333333333333;23.0;26.0;-3.0;23.0
329;23.116666666666667;23.0;26.0;-3.0;23.0
339;23.123333333333335;23.0;26.0;-3.0;23.0
349;23.083333333333332;23.0;26.0;-3.0;23.0
359;23.10333333333333;23.0;26.0;-3.0;23.0
369;23.093333333333334;23.0;26.0;-3.0;23.0
379;23.083333333333332;23.0;26.0;-3.0;23.0
389;23.07;23.0;26.0;-3.0;23.0
399;23.083333333333332;23.0;26.0;-3.0;23.0
409;23.09;23.0;26.0;-3.0;23.0
419;23.063333333333333;23.0;26.0;-3.0;23.0
429;23.063333333333333;23.0;26.0;-3.0;23.0
439;23.1;23.0;26.0;-3.0;23.0
449;23.106666666666666;23.0;26.0;-3.0;23.0
459;23.066666666666666;23.0;26.0;-3.0;23.0
469;23.076666666666668;23.0;26.0;-3.0;23.0
479;23.113333333333333;23.0;26.0;-3.0;23.0
489;23.17;23.0;26.0;-3.0;23.0
499;23.08;23.0;26.0;-3.0;23.0
509;23.12;23.0;26.0;-3.0;23.0
519;23.13;23.0;26.0;-3.0;23.0
529;23.096666666666668;23.0;26.0;-3.0;23.0
539;23.073333333333334;23.0;26.0;-3.0;23.0
549;22.106666666666666;22.0;25.0;-3.0;22.0
559;22.11;22.0;25.0;-3.0;22.0
569;22.11;22.0;25.0;-3.0;22.0
579;22.04;22.0;25.0;-3.0;22.0
589;22.086666666666666;22.0;25.0;-3.0;22.0
599;22.066666666666666;22.0;25.0;-3.0;22.0
609;22.086666666666666;22.0;25.0;-3.0;22.0
619;22.113333333333333;22.0;25.0;-3.0;22.0
629;22.086666666666666;22.0;25.0;-3.0;22.0
639;22.07;22.0;25.0;-3.0;22.0
649;20.10333333333333;20.0;23.0;-3.0;20.0
659;20.106666666666666;20.0;23.0;-3.0;20.0
669;20.05666666666667;20.0;23.0;-3.0;20.0
679;20.116666666666667;20.0;23.0;-3.0;20.0
689;19.143333333333334;19.0;22.0;-3.0;19.0
699;19.126666666666665;19.0;22.0;-3.0;19.0
709;19.05666666666667;19.0;22.0;-3.0;19.0
719;19.106666666666666;19.0;22.0;-3.0;19.0
729;19.113333333333333;19.0;22.0;-3.0;19.0
739;18.12;18.0;21.0;-3.0;18.0
749;18.10333333333333;18.0;21.0;-3.0;18.0
759;18.09;18.0;21.0;-3.0;18.0
769;18.066666666666666;18.0;21.0;-3.0;18.0
779;18.11;18.0;21.0;-3.0;18.0
789;18.1;18.0;21.0;-3.0;18.0
799;18.083333333333332;18.0;21.0;-3.0;18.0
809;18.1;18.0;21.0;-3.0;18.0
819;18.123333333333335;18.0;21.0;-3.0;18.0
829;18.126666666666665;18.0;21.0;-3.0;18.0
839;18.10333333333333;18.0;21.0;-3.0;18.0
849;18.11;18.0;21.0;-3.0;18.0
859;18.113333333333333;18.0;21.0;-3.0;18.0
869;18.123333333333335;18.0;21.0;-3.0;18.0
879;18.073333333333334;18.0;21.0;-3.0;18.0
889;18.15;18.0;21.0;-3.0;18.0
899;18.05;18.0;21.0;-3.0;18.0
