geracao;media da geracao;fitness do melhor da geracao;fitness do pior da geracao;relacao entre melhor e pior;fitness do melhor da run
Probabilidade Recombinação: 0.7
Probabilidade Mutação: 0.049999999999999996
Tipo de Selecção: Torneio
Tipo de Mutação: Simples Al.
Tamanho População: 300
Máximo de Gerações: 15000
0;84.60333333333334;69.0;101.0;-32.0;69.0
0;75.42666666666666;66.0;86.0;-20.0;66.0
9;56.91;56.0;60.0;-4.0;56.0
19;50.38333333333333;48.0;54.0;-6.0;48.0
29;45.39666666666667;44.0;49.0;-5.0;44.0
39;42.11;42.0;45.0;-3.0;42.0
49;39.083333333333336;39.0;42.0;-3.0;39.0
59;37.056666666666665;36.0;40.0;-4.0;36.0
69;35.083333333333336;35.0;38.0;-3.0;35.0
79;34.083333333333336;34.0;37.0;-3.0;34.0
89;32.093333333333334;32.0;35.0;-3.0;32.0
99;31.303333333333335;31.0;35.0;-4.0;31.0
109;31.046666666666667;31.0;34.0;-3.0;31.0
119;28.083333333333332;27.0;31.0;-4.0;27.0
129;26.126666666666665;26.0;29.0;-3.0;26.0
139;26.086666666666666;26.0;29.0;-3.0;26.0
149;25.02;25.0;27.0;-2.0;25.0
159;24.10333333333333;23.0;27.0;-4.0;23.0
169;23.066666666666666;23.0;26.0;-3.0;23.0
179;22.476666666666667;22.0;26.0;-4.0;22.0
189;22.09;22.0;25.0;-3.0;22.0
199;21.95;21.0;25.0;-4.0;21.0
209;21.113333333333333;21.0;24.0;-3.0;21.0
219;21.116666666666667;21.0;24.0;-3.0;21.0
229;21.066666666666666;21.0;24.0;-3.0;21.0
239;21.06;21.0;24.0;-3.0;21.0
249;21.076666666666668;21.0;24.0;-3.0;21.0
259;21.093333333333334;21.0;24.0;-3.0;21.0
269;21.053333333333335;21.0;24.0;-3.0;21.0
279;21.116666666666667;21.0;24.0;-3.0;21.0
289;21.10333333333333;21.0;24.0;-3.0;21.0
299;21.086666666666666;21.0;24.0;-3.0;21.0
309;21.106666666666666;21.0;24.0;-3.0;21.0
319;21.1;21.0;24.0;-3.0;21.0
329;21.1;21.0;24.0;-3.0;21.0
339;21.086666666666666;21.0;24.0;-3.0;21.0
349;21.11;21.0;24.0;-3.0;21.0
359;21.136666666666667;21.0;24.0;-3.0;21.0
369;21.12;21.0;24.0;-3.0;21.0
379;21.083333333333332;21.0;24.0;-3.0;21.0
389;21.076666666666668;21.0;24.0;-3.0;21.0
399;21.1;21.0;24.0;-3.0;21.0
409;21.083333333333332;21.0;24.0;-3.0;21.0
419;21.076666666666668;21.0;24.0;-3.0;21.0
429;21.03;20.0;24.0;-4.0;20.0
439;20.116666666666667;20.0;23.0;-3.0;20.0
449;20.136666666666667;20.0;23.0;-3.0;20.0
459;20.086666666666666;20.0;23.0;-3.0;20.0
469;20.083333333333332;20.0;23.0;-3.0;20.0
479;20.113333333333333;20.0;23.0;-3.0;20.0
489;20.163333333333334;20.0;23.0;-3.0;20.0
499;20.133333333333333;20.0;23.0;-3.0;20.0
509;20.17;20.0;23.0;-3.0;20.0
519;20.14;20.0;23.0;-3.0;20.0
529;20.086666666666666;20.0;23.0;-3.0;20.0
539;20.086666666666666;20.0;23.0;-3.0;20.0
549;20.11;20.0;23.0;-3.0;20.0
559;20.096666666666668;20.0;23.0;-3.0;20.0
569;20.086666666666666;20.0;23.0;-3.0;20.0
579;20.07;20.0;23.0;-3.0;20.0
589;20.096666666666668;20.0;23.0;-3.0;20.0
599;20.07;20.0;23.0;-3.0;20.0
609;20.123333333333335;20.0;23.0;-3.0;20.0
619;20.13;20.0;23.0;-3.0;20.0
629;20.106666666666666;20.0;23.0;-3.0;20.0
639;20.086666666666666;20.0;23.0;-3.0;20.0
649;20.126666666666665;20.0;23.0;-3.0;20.0
659;20.106666666666666;20.0;23.0;-3.0;20.0
669;20.073333333333334;20.0;23.0;-3.0;20.0
679;20.123333333333335;20.0;23.0;-3.0;20.0
689;19.12;19.0;22.0;-3.0;19.0
699;19.086666666666666;18.0;22.0;-4.0;18.0
709;18.08;18.0;21.0;-3.0;18.0
719;17.10333333333333;17.0;20.0;-3.0;17.0
729;17.136666666666667;17.0;20.0;-3.0;17.0
739;17.14;17.0;20.0;-3.0;17.0
749;17.093333333333334;16.0;20.0;-4.0;16.0
759;16.12;15.0;19.0;-4.0;15.0
769;15.086666666666666;15.0;18.0;-3.0;15.0
779;15.113333333333333;15.0;18.0;-3.0;15.0
789;15.096666666666666;15.0;18.0;-3.0;15.0
799;15.1;15.0;18.0;-3.0;15.0
809;15.11;15.0;18.0;-3.0;15.0
819;15.156666666666666;15.0;18.0;-3.0;15.0
829;15.13;15.0;18.0;-3.0;15.0
839;15.106666666666667;15.0;18.0;-3.0;15.0
849;15.12;15.0;18.0;-3.0;15.0
859;15.086666666666666;15.0;18.0;-3.0;15.0
869;15.116666666666667;15.0;18.0;-3.0;15.0
879;15.073333333333334;15.0;18.0;-3.0;15.0
889;15.146666666666667;15.0;18.0;-3.0;15.0
899;15.07;15.0;18.0;-3.0;15.0
